ID,Status,City,State,Zip,Life.hours,Life.No.Call.No.Show,Life.Call.Email.to.miss.shift,Life.Absence,YTD.hours,No.Call.No.Show,Call.Email.to.miss.shift,Absence,MTD.hours,MTD.No.Call.No.Show,MTD.Call.Email.to.miss.shift,MTD.Absence,Date.entered,Start.date,Stop.date,Orientation.Date
1067,Active,Philadelphia,PA,19146,0,0,0,0,0,0,0,0,0,0,0,0,07-26-2017,07-26-2017,,
1068,Active,Philadelphia,PA,19130,85.25,0,0,0,25.25,0,0,0,4.5,0,0,0,08-26-2015,08-26-2015,,
1069,Active,Philadelphia,PA,19119,9.75,0,0,0,0,0,0,0,0,0,0,0,02-27-2017,02-27-2017,,
1070,Active,Philadelphia,PA,19145,6,0,0,0,6,0,0,0,0,0,0,0,06-09-2017,06-09-2017,,
1071,Active,Philadelphia,PA,19147,8,0,0,0,0,0,0,0,0,0,0,0,12-22-2016,12-22-2016,,
1072,Active,Philadelphia,PA,19139,6,0,0,0,0,0,0,0,0,0,0,0,06-27-2017,06-27-2017,,
1073,Active,Philadlephia,PA,19130,45.5,0,0,0,19.5,0,0,0,2,0,0,0,04-28-2017,04-28-2017,,
1074,Active,Philadelphia,PA,19146,0,0,0,0,0,0,0,0,0,0,0,0,09-25-2017,09-25-2017,,
1075,Active,Wynnewood,PA,19096,0,0,0,0,0,0,0,0,0,0,0,0,09-19-2017,09-19-2017,,09-17-2017
1076,Active,Philadelphia,PA,19106,4.5,0,0,0,2,0,0,0,0,0,0,0,12-06-2017,12-06-2017,,12-05-2017
1077,Active,Philadelphia,PA,19114,0,0,0,0,0,0,0,0,0,0,0,0,09-01-2016,09-01-2016,,
1078,Active,Philadelphia,PA,19106,2,0,0,0,2,0,0,0,0,0,0,0,12-23-2017,12-23-2017,,
1079,Active,Philadelphia,PA,19130,53.5,0,0,0,24.5,0,0,0,3,0,0,0,04-24-2017,04-24-2017,,
1080,Active,Bala Cynwyd,PA,19004,5,0,0,0,0,0,0,0,0,0,0,0,09-01-2016,09-01-2016,,
1081,Active,Philadelphia,PA,19128,30.5,0,0,0,6,0,0,0,0,0,0,0,03-08-2017,03-08-2017,,
1082,Active,Philadelphia,PA,19104,2,1,1,2,0,0,0,0,0,0,0,0,09-21-2017,09-25-2017,,
1083,Active,Philadelphia,PA,19114,298,0,0,0,47.25,0,0,0,3.75,0,0,0,08-31-2015,09-01-2015,,
1084,Active,Philadelphia,PA,19145,0,0,0,0,0,0,0,0,0,0,0,0,08-02-2017,08-02-2017,,
1085,Active,Philadelphia,PA,19103-5437,12.6666666667,0,0,0,12.6666666667,0,0,0,0,0,0,0,01-03-2018,01-03-2018,,
1086,Active,Philadelphia,PA,19147,0,0,0,0,0,0,0,0,0,0,0,0,11-06-2017,11-06-2017,,
1087,Active,Philadelphia,PA,19123,187.1666666667,0,2,2,27,0,0,0,0,0,0,0,10-09-2012,10-09-2012,,
1088,Active,Philadelphia,PA,19103,0,0,0,0,0,0,0,0,0,0,0,0,07-26-2017,07-26-2017,,
1089,Active,Philadelphia,PA,19116,40.5,0,0,0,22.5,0,0,0,0,0,0,0,09-21-2017,09-21-2017,,
1090,Active,Philadelphia,PA,19123-2504,0,0,0,0,0,0,0,0,0,0,0,0,08-02-2017,08-02-2017,,
1091,Active,Philadelphia,PA,19145,41.2833333333,0,0,0,39.2833333333,0,0,0,4,0,0,0,11-27-2017,11-27-2017,,
1092,Active,Philadelphia,PA,19116,11.5,0,0,0,0,0,0,0,0,0,0,0,10-07-2013,10-07-2013,,
1093,Active,Lansdowne,PA,19050,0,0,0,0,0,0,0,0,0,0,0,0,05-30-2017,05-30-2017,,
1094,Active,Philadelphia,PA,19116,0,5,0,5,0,0,0,0,0,0,0,0,08-24-2015,08-24-2015,,
1095,Active,Philadelphia,PA,19147,4,0,0,0,4,0,0,0,0,0,0,0,12-18-2017,12-18-2017,,12-17-2017
1096,Active,Philadelphia,PA,19146,47,0,0,0,12,0,0,0,1.5,0,0,0,02-27-2017,02-27-2017,,02-19-2017
1097,Active,Philadelphia,PA,19149,10,0,0,0,0,0,0,0,0,0,0,0,10-18-2017,10-19-2017,,
1098,Active,,,,0,0,0,0,0,0,0,0,0,0,0,0,03-20-2017,03-20-2017,,
1099,Active,Philadelphia,PA,19104,0,0,0,0,0,0,0,0,0,0,0,0,09-11-2017,09-11-2017,,
