"","ID","Orientation.Date","Type","NOT.Attending","Present","orientation"
"2885",2072,"6/5/18","NE","","PRESENT","Primary"
"1585",1742,"10/3/17","NE","","PRESENT","Primary"
"831",1551,"5/21/17","GF Basic + GF WD","","PRESENT","Primary"
"2919",2040,"6/12/18","PAC Dog","","PRESENT","Primary"
"1969",1417,"12/17/17","PAC Cat","","PRESENT","Primary"
"1240",1254,"8/1/17","NE","","PRESENT","Primary"
"2294",2119,"2/11/18","PAC Cat","","PRESENT","Primary"
"2411",2119,"3/4/18","GF Basic","","PRESENT","Secondary"
"1766",2109,"11/7/17","PAC Cat","","PRESENT","Primary"
"2903",2025,"6/10/18","GF Basic","","PRESENT","Primary"
"2363",1897,"2/20/18","NE","","PRESENT","Primary"
"2652",2073,"4/17/18","NE","","PRESENT","Primary"
"1943",1365,"12/10/17","PAC Cat","","PRESENT","Primary"
"2743",1748,"5/8/18","PAC Cat","","PRESENT","Primary"
"1714",1431,"10/29/17","PAC Cat","","PRESENT","Primary"
"485",1547,"3/19/17","GF Basic","","PRESENT","Primary"
"2313",2000,"2/18/18","GF Basic + GF WD","","PRESENT","Primary"
"464",1354,"3/12/17","NE","","PRESENT","Primary"
"2627",1898,"4/15/18","GF Basic + GF WD","","PRESENT","Primary"
"1438",1324,"9/5/17","NE","","PRESENT","Primary"
"744",1216,"5/7/17","PAC Cat","","PRESENT","Primary"
"2784",1970,"5/15/18","PAC Dog","","PRESENT","Primary"
"1579",1414,"10/1/17","NE","","PRESENT","Primary"
"1419",1707,"9/3/17","NE","","PRESENT","Primary"
"297",1319,"2/19/17","GF Basic","","PRESENT","Primary"
"922",1238,"6/4/17","NE","","PRESENT","Primary"
"2485",2238,"03/18/18","GF Basic + GF WD","","PRESENT","Primary"
"2469",2128,"03/13/18","PAC Cat","","PRESENT","Primary"
"2762",1955,"5/13/18","GF Basic","","PRESENT","Primary"
"2905",1955,"6/10/18","GF WD","","PRESENT","Secondary"
"2996",1858,"7/1/18","NE","","PRESENT","Primary"
"1549",1142,"10/1/17","PAC Cat","","PRESENT","Primary"
"2766",1956,"5/13/18","GF Basic","","PRESENT","Primary"
"1179",1505,"7/23/17","PAC Cat","","PRESENT","Primary"
"1607",1176,"10/8/17","PAC Cat","","PRESENT","Primary"
"1684",1718,"10/22/17","PAC Cat","","PRESENT","Primary"
"2727",2147,"5/1/18","PAC Cat","","PRESENT","Primary"
"2636",2010,"4/15/18","GF Basic + GF WD","","PRESENT","Primary"
"2782",2050,"5/15/18","PAC Dog","","PRESENT","Primary"
"2511",2121,"03/18/18","NE","","PRESENT","Primary"
"1423",1595,"9/5/17","PAC Cat","","PRESENT","Primary"
"2066",1889,"1/7/18","NE","","PRESENT","Primary"
"1078",1172,"7/2/17","GF Basic + GF WD","","PRESENT","Primary"
"1181",1666,"7/23/17","PAC Cat","","PRESENT","Primary"
"1788",1333,"11/7/17","PAC Dog","","PRESENT","Primary"
"613",1494,"4/9/17","GF Basic","","PRESENT","Primary"
"2273",1971,"2/11/18","GF Basic + GF WD","","PRESENT","Primary"
"1461",1437,"9/10/17","GF Basic + GF WD","","PRESENT","Primary"
"811",1709,"5/16/17","PAC Cat","","PRESENT","Primary"
"1163",1691,"7/16/17","NE","","PRESENT","Primary"
"2458",2103,"3/11/18","PAC Cat","","PRESENT","Primary"
"2069",2087,"1/9/18","PAC Cat","","PRESENT","Primary"
"2668",2196,"4/22/18","PAC Cat","","PRESENT","Primary"
"2264",1913,"2/11/18","GF Basic + GF WD","","PRESENT","Primary"
"1591",1307,"10/3/17","PAC Cat","","PRESENT","Primary"
"1582",1495,"10/3/17","NE","","PRESENT","Primary"
"987",1627,"6/11/17","NE","","PRESENT","Primary"
"2651",2009,"4/17/18","NE","","PRESENT","Primary"
"2468",1769,"03/13/18","PAC Cat","","PRESENT","Primary"
"250",2201,"2/12/17","GF Basic","","PRESENT","Primary"
"2471",2201,"03/18/18","PAC Cat","","PRESENT","Secondary"
"476",1325,"3/19/17","GF Basic + GF WD","","PRESENT","Primary"
"279",1899,"2/19/17","PAC Cat","","PRESENT","Primary"
"1616",1151,"10/8/17","GF Basic + GF WD","","PRESENT","Primary"
"1451",1328,"9/10/17","GF Basic","","PRESENT","Primary"
"1938",1580,"12/5/17","NE","","PRESENT","Primary"
"1447",2156,"9/10/17","PAC Cat","","PRESENT","Primary"
"1890",1326,"12/3/17","PAC Cat","","PRESENT","Primary"
"267",1404,"2/12/17","NE","","PRESENT","Primary"
"1397",1404,"8/29/17","PAC Cat","","PRESENT","Secondary"
"2617",2060,"4/10/18","PAC Cat","","PRESENT","Primary"
"2611",2031,"04/08/18","NE","","PRESENT","Primary"
"1917",1486,"12/3/17","NE","","PRESENT","Primary"
"2816",1849,"5/22/18","PAC Cat","","PRESENT","Primary"
"2844",1849,"6/3/18","GF Basic + GF WD","","PRESENT","Secondary"
"1456",1099,"9/10/17","GF Basic","","PRESENT","Primary"
"1383",1611,"8/27/17","GF Basic + GF WD","","PRESENT","Primary"
